table_name,column_name,column_values,openAI_semantic_type,annotation,comments,model_x_semantic_type,annotation_x
Data/Datasets/Aam Aadmi Bima Yojana.csv,Country,['India'],Categorical,FALSE,,Location,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,State,"['Andaman And Nicobar Islands', 'Andhra Pradesh']",Categorical,FALSE,,Location,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,Year,"['Calendar Year (Jan - Dec), 2013', 'Calendar Year (Jan - Dec), 2014', 'Calendar Year (Jan - Dec), 2015']",Time,TRUE,,Time,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,New Lives Covered Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),"[0.0, 1675.0, 2.0, 1260399.2208146066, 5199301.969324921]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,"Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) Claims Settled Includes Death, Accident And Disability Claims (UOM:Number)","[0.0, 28796.42399340928, 21438.47108693504]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,"Amount Of Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) , Claims Settled Includes Death, Accident And Disability Claims (UOM:INR(IndianRupees))","[0.0, 941195.7727926464, 701542.094361908]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),"[0.0, 1150156.5358232283, 624686.2745482818]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Aam Aadmi Bima Yojana.csv,Amount Of Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:INR(IndianRupees)),"[0.0, 62131895.4556478, 222250786.31351]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Country,['India'],Categorical,FALSE,,Location,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,State,"['Andaman And Nicobar Islands', 'Andhra Pradesh']",Location,TRUE,,Location,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,District,"['Nicobars', 'North And Middle Andaman', 'South Andamans', 'Alluri Sitharama Raju', 'Anakapalli']",Categorical,FALSE,,Categorical,FALSE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Year,"['Financial Year (Apr - Mar), 2024']",Time,TRUE,,Time,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Calendar Day,['2024-04-01'],Time,TRUE,,Time,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Block (UOM:Number),"[3.0, 22.0, 24.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Har Ghar Jal Block Reported (UOM:Number),"[3.0, 0.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Har Ghar Jal Block Certified (UOM:Number),"[3.0, 0.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Panchayats (UOM:Number),"[10.0, 37.0, 28.0, 429.0, 572.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Har Ghar Jal Panchayat Reported (UOM:Number),"[10.0, 37.0, 28.0, 22.0, 33.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Har Ghar Jal Panchayat Certified (UOM:Number),"[10.0, 37.0, 28.0, 0.0, 6.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Villages (UOM:Number),"[62.0, 114.0, 89.0, 2875.0, 669.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Har Ghar Jal Village Reported (UOM:Number),"[62.0, 114.0, 89.0, 547.0, 39.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Details of Har Ghar Jal (100% Functional Household Tap Connections (FHTC) Coverage).csv,Number Of Har Ghar Jal Village Certifiied (UOM:Number),"[62.0, 114.0, 89.0, 27.0, 10.0]",Numerical,TRUE,,Numerical,TRUE
